target,predicted
hu'aɡ moŋ ɡala'win ʔaŋ ku't͡ʃaɾa ʔat ʔaŋ 'basoŋ ʔi'an,huwaɡ moŋ ɡalawin aŋ kutsaɾa at aŋ basoŋ ijan
ʔi'to ʔaj 'ʔakiŋ kom'pjuteɾ,ʔito aj akiŋ kompjuteɾ
ba'kaʔ 'nasa ku'sina si 'tom 'peɾo 'ʔewan ko,baka nasa kusina si tomˌ peɾo ewan ko
ba'kaʔ luma'bas ʔa'ko kuŋ tu'mila na ʔaŋ ʔu'lan,baka lumabas ako kuŋ tumila na aŋ ulan
nakakapaɡ'basa ʔa'ko naŋ ʔiŋ'ɡles,nakakapaɡbasa ako ŋ iŋles
'halos siɾa'ʔin naŋ ʔes'kandalo ʔaŋ ka'njaŋ ka'ɾeɾa,halos siɾain ŋ eskandalo aŋ kaɲaŋ kaɾeɾa
makatoto'hanan ʔi'on,makatotohanan ijon
maj ta'noŋ ʔa'ko 'paɾa sa ʔi'o,maj tanoŋ ako paɾa sa ijo
tatawa'ɡin ko si'a,tatawaɡin ko sija
kamus'ta ʔaŋ bakas'jon mo,kamusta aŋ bakaʃon mo?
papata'jin ʔa'ko naŋ ma'ŋa ma'ɡulaŋ ko,papatajin ako ŋ mɡa maɡulaŋ ko!
naɡkaka'pe ʔa'ko,naɡkakape ako
'nasa sine'han ʔa'ko,nasa sinehan ako
suk'liʔ mo,sukli mo
hin'diʔ mas'jadoŋ naɡʔa'ʔaɾal si 'monika,hindi maʃadoŋ naɡ-aaɾal si monika
ɡa'lit si'a sa 'ʔakin,ɡalit sija sa akin
wa'laŋ pumun'ta,walaŋ pumunta
ʔaŋ 'laŋit ʔaj pu'noʔ naŋ maʔiʔi'tim na 'ʔulap,ʔaŋ laŋit aj puno ŋ maiitim na ulap
pumupun'ta si'a sa 'londɾes 'kada bu'an,pumupunta sija sa londɾes kada buwan
'dapat ko 'baŋ ʔuli'tin,dapat ko baŋ ulitin?
naɡ'ʔaɾal si'a naŋ ma'buti 'paɾa ma'ɡiŋ dalub'ʔaɡham,naɡ-aɾal sija naŋ mabuti paɾa maɡiŋ dalub-aɡham
kaʔi'laŋan 'natiŋ ta'waɡan ʔaŋ pu'lisja,kailaŋan natiŋ tawaɡan aŋ puliʃa
ʔa'noŋ ɡinaɡa'waʔ mo sa ma'ŋa 'libɾeŋ 'ʔoɾas mo,ʔanoŋ ɡinaɡawa mo sa mɡa libɾeŋ oɾas mo?
bu'laɡ ʔaŋ kan'jaŋ ʔi'saŋ ma'ta,bulaɡ aŋ kaɲaŋ isaŋ mata
si'nabi ni'a sa ʔa'min na naɾa'nasan ni'a ʔaŋ ma'ɾamiŋ kahi'ɾapan,sinabi nija sa amin na naɾanasan nija aŋ maɾamiŋ kahiɾapan
sa'ʔan mo si'la pinaɡbanta'ʔan,saan mo sila pinaɡbantaan?
pa'taj,pataj?
kuŋ ma'siɾaʔ 'man ʔaŋ 'woɾdpɾo'sesoɾ papali'tan 'namin ʔi'to naŋ wa'laŋ 'bajad,kuŋ masiɾa man aŋ woɾd-pɾokessoɾˌ papalitan namin ito naŋ walaŋ bajad
naɡ'taksi ʔa'ko 'kasi ʔumuʔu'lan,naɡ-taksi ako kasi umuulan
muk'haŋ ʔinteɾe'sado tala'ɡa si 'tom kaj 'meɾi,mukhaŋ inteɾesado talaɡa si tom kaj maɾj
hu'aɡ na hu'aɡ ka'joŋ maɡla'ɾoʔ sa da'ʔan,huwaɡ na huwaɡ kajoŋ maɡlaɾo sa daan
ʔaŋ 'baɡaj na 'ʔajaw ko sa kan'ja ʔaj ʔaŋ paɡjaja'baŋ ni'a na majɾo'ʔon si'aŋ maɡan'daŋ 'ɡɾado 'kahit na hin'diʔ 'sja naɡʔa'ʔaɾal,ʔaŋ baɡaj na ajaw ko sa kaɲa aj aŋ paɡjajabaŋ nija na majɾoon sijaŋ maɡandaŋ ɡɾado kahit na hindi ʃa naɡ-aaɾal
'paɾaŋ hin'diʔ ʔinteɾe'sado si 'tom,paɾaŋ hindi inteɾesado si tom
ʔaŋ ʔak'lat na ʔi'to ʔaj tuŋ'kol sa ʔi'saŋ 'haɾiʔ na nawa'lan naŋ ko'ɾona,ʔaŋ aklat na ito aj tuŋkol sa isaŋ haɾi na nawalan ŋ koɾona
'mas ɡus'to ko ʔaŋ taɡla'miɡ kaj'sa sa taɡ'ʔinit,mas ɡusto ko aŋ taɡ-lamiɡ kajsa sa taɡ-init
hin'diʔ ʔa'lam ni 'tom kuŋ nasa'ʔan ʔi'on,hindi alam ni tom kuŋ nasaan ijon
'nasa 'bahaj si 'tom,nasa bahaj si tom?
biniɡ'jan ni'a si'a naŋ maʔiʔi'nom,biniɡjan nija sija ŋ maiinom
naɡsu'suʃi si'na 'taɾo ʔat ha'nako,naɡsu-sushi sina taɾo at hanako
bumi'li ʔa'ko 'ɾito naŋ ʔak'lat ka'hapon,bumili ako ɾito ŋ aklat kahapon
pumun'ta si'a sa 'paɾis 'paɾa maɡ'ʔaɾal naŋ 'siniŋ,pumunta sija sa paɾis paɾa maɡ-aɾal ŋ siniŋ
maɡan'da ba ʔaŋ pana'hon,maɡanda ba aŋ panahon?
bu'kas ba sa la'hat ʔaŋ ɡu'saliŋ ʔi'to,bukas ba sa lahat aŋ ɡusaliŋ ito?
mala'ki ka na,malaki ka na
ki'naʔin si 'tom naŋ ʔi'saŋ bu'aja,kinain si tom ŋ isaŋ buwaja
ʔini'ʔisip naŋ ma'ŋa maja'jabaŋ na 'taʔo na 'mas mata'ʔas si'la sa ʔi'ba,ʔiniisip ŋ mɡa majajabaŋ na tao na mas mataas sila sa iba
ʔini'ʔihaw ʔaŋ kaɾ'ne,ʔiniihaw aŋ kaɾne
ʔi'kuha mo ka'jaʔ ʔa'ko naŋ ʔi'sa 'paŋ seɾ'besa,ʔikuha mo kaja ako ŋ isa paŋ seɾbesa
'bakit ba na pa'laɡiŋ hu'li ka,bakit ba na palaɡiŋ huli ka?
ˌkakaʔi'ba ʔaŋ 'kilos mo,kakaiba aŋ kilos mo
ba'kaʔ 'dapat maɡhin'taj ka,baka dapat maɡhintaj ka
pinintu'ɾahaŋ pu'tiʔ 'paɾaŋ 'mas mala'ki i'toŋ 'bahaj,pinintuɾahaŋ putiˌ paɾaŋ mas malaki itoŋ bahaj
hu'aɡ moŋ kali'mutan kuŋ 'sino ka,huwaɡ moŋ kalimutan kuŋ sino ka
'kita sa muk'haʔ ni'a na naʔi'nis si'a,kita sa mukha nija na nainis sija
hin'diʔ ki'ta iniimbi'tahan,hindi kita iniimbitahan
ʔaŋ ba'litaʔ ko naɡkasa'kit ka 'ɾaw,ʔaŋ balita ko naɡkasakit ka ɾaw
nanono'ʔod naŋ ba'litaʔ si tom,nanonood ŋ balita si tom
ʔi'on ʔaj kaɾa'niwan naŋ ɡina'ɡawaʔ hin'diʔ ʔi'on 'tulad naŋ paɡɡu'pit naŋ ma'ŋa du'luhan,ʔijon aj kaɾaniwan naŋ ɡinaɡawaˌ hindi ijon tulad ŋ paɡɡupit ŋ mɡa duluhan
hin'diʔ 'ɾin na'man ʔa'ko ʔinteɾe'sado ɡa'win ʔaŋ ma'ŋa 'baɡaj na ɡan'jan,hindi ɾin naman ako inteɾesado ɡawin aŋ mɡa baɡaj na ɡaɲan
tu'mawaɡ si 'tom,tumawaɡ si tom
'ɡusto mo ba na ta'tawaɡ ʔa'ko naŋ pu'lis,ɡusto mo ba na tatawaɡ ako ŋ pulis?
kumin'dat ba sa 'yo si 'tom,kumindat ba sa 'jo si tom?
ʔi'sa si'aŋ ma'husaj na po'litiko ʔat ma'husaj na ʔestud'jante,ʔisa sijaŋ mahusaj na politiko at mahusaj na estudjante
mala'kas si'aŋ maɡsali'taʔ,malakas sijaŋ maɡsalita
dina'la ni'a ʔaŋ ka'njaŋ ʔak'lat,dinala nija aŋ kaɲaŋ aklat
biɡ'laŋ ʔuma'lis si 'tom,biɡlaŋ umalis si tom
ki'ta 'koŋ maj bulak'lak sa ʔi'babaw naŋ pu'pitɾe,kita koŋ maj bulaklak sa ibabaw ŋ pupitɾe
hu'aɡ ka mas'jadoŋ luma'joʔ,huwaɡ ka maʃadoŋ lumajo
binu'bulaj na punda'doɾ naŋ mo'deɾnoŋ ʔastɾono'mia si niko'laus kopeɾ'nikus,binubulaj na pundadoɾ ŋ modeɾnoŋ astɾonomija si nikolaus kopeɾnikus
wa'laŋ ta'talo sa 'lasa naŋ 'baɡoŋɡa'waŋ ti'napaj,walaŋ tatalo sa lasa ŋ baɡoŋ-ɡawaŋ tinapaj
pɾope'soɾ ko si'a,pɾopesoɾ ko sija
'meɾon ʔa'koŋ dala'waŋ 'pusaʔ,meɾon akoŋ dalawaŋ pusa
ʔa'kalaʔ 'namin kumakan'ta ka,ʔakala namin kumakanta ka
ɡaɡa'win ko ʔi'an sa kondis'jon na tutu'luŋan mo ʔa'ko,ɡaɡawin ko ijan sa kondiʃon na tutuluŋan mo ako
diʔ kuŋ ʔa'no ʔaŋ bina'basa mo kun'diʔ kuŋ pa'ʔano mo bina'basa ʔaŋ kahulu'ɡan,di kuŋ ano aŋ binabasa mo kundi kuŋ paano mo binabasa aŋ kahuluɡan
maɡpa'kitaʔ ka sa 'ʔakin,maɡpakita ka sa akin!
sa'sama ka ba sa 'ʔakin sa tin'dahan,sasama ka ba sa akin sa tindahan?
hin'diʔ si'a naɡpaliɡujli'ɡoj,hindi sija naɡpaliɡuj-liɡoj
sa 'ʔatin 'lamaŋ dala'wa na'huloɡ ba ʔaŋ lo'ʔob mo 'paɾa sa 'ʔakiŋ kapa'tid na ba'baʔe,sa atin lamaŋ dalawa; nahuloɡ ba aŋ loob mo paɾa sa akiŋ kapatid na babae?
sa ti'ŋin ko o'ke 'laŋ,sa tiŋin ko ok laŋ
ʔa'lam mo ba na 'mas mala'kas ka sa ʔa'kalaʔ mo,ʔalam mo ba na mas malakas ka sa akala mo?
hin'diʔ ko ˌsasaɡu'tin ʔaŋ ɡan'jan kata'ŋaŋ ta'noŋ,hindi ko sasaɡutin aŋ ɡaɲan kataŋaŋ tanoŋ
ɡa'ʔano ʔi'on ka'lawak,ɡaano ijon kalawak?
naɡit'la si'a naŋ naɾi'niɡ ni'a ʔaŋ ba'litaʔ,naɡitla sija naŋ naɾiniɡ nija aŋ balita
pina'taj ʔaŋ 'tubiɡ,pinataj aŋ tubiɡ
kuŋ ʔa'koj ʔi'saŋ 'ʔibon ˌlili'pad ʔa'ko pa'tuŋo sa 'jo,kuŋ ako'j isaŋ ibonˌ lilipad ako patuŋo sa 'jo
han'daʔ na si'aŋ haɾa'pin ʔaŋ kapa'laɾan ni'a,handa na sijaŋ haɾapin aŋ kapalaɾan nija
ʔipinaki'lala ni'a ʔa'ko sa kan'ja sa 'paɾti,ʔipinakilala nija ako sa kaɲa sa paɾti
maɡa'liŋ ŋa'jon ʔat ni mas'jadoŋ mabi'ɡat ni mas'jadoŋ maɡa'ʔan,maɡaliŋ ŋajon at ni maʃadoŋ mabiɡat ni maʃadoŋ maɡaan
mataŋ'kad si 'meɾi,mataŋkad si maɾj
ʔumuʔu'lan 'dito,ʔumuulan dito
si'a ʔaj naɡmumu'ɾa sa 'bidjo,sija aj naɡmumuɾa sa bidjo
hin'diʔ ko ʔa'lam kuŋ maɡ'kano 'to,hindi ko alam kuŋ maɡkano 'to
naɡ'lalakad ba si 'tom papun'taŋ ʔeskuˌela'han,naɡlalakad ba si tom papuntaŋ eskuwelahan?
ɡa'waʔ sa 'kahoj ʔaŋ pu'pitɾe,ɡawa sa kahoj aŋ pupitɾe
ʔaŋ ba'ŋo naŋ bif'stek na ʔi'to,ʔaŋ baŋo ŋ beefsteak na ito
ɡina'waʔ moŋ ʔi'saŋ ha'ŋal ʔaŋ ʔi'joŋ sa'ɾili,ɡinawa moŋ isaŋ haŋal aŋ ijoŋ saɾili
ʔaŋ ʔaɾ'tikulo tuŋ'kol sa bu'dismoj binu'haj ʔaŋ 'hiliɡ ko sa ma'ŋa ɾelihi'oŋ sila'ŋanin,ʔaŋ aɾtikulo tuŋkol sa budismo'j binuhaj aŋ hiliɡ ko sa mɡa ɾelihijoŋ silaŋanin
ʔa'lam 'koŋ ɡa'lit ka sa 'ʔakin,ʔalam koŋ ɡalit ka sa akin
ʔi'saŋ da'ʔaŋ 'metɾoŋ kataʔa'san ʔaŋ ɡu'saliʔ,ʔisaŋ daaŋ metɾoŋ kataasan aŋ ɡusali
ɡus'to 'koŋ maɡtɾa'baho sa kapetiɾ'ja,ɡusto koŋ maɡtɾabaho sa kapetiɾja
ʔi'laŋ 'taʔo ʔaŋ 'nasa 'ɡɾupo mo,ʔilaŋ tao aŋ nasa ɡɾupo mo?
pu'ede moŋ 'kunin ʔaŋ lib'ɾo kuŋ maba'basa mo,puwede moŋ kunin aŋ libɾo kuŋ mababasa mo
ʔumi'nom ʔat ku'maʔin,ʔuminom at kumain
ɡani'to ʔaŋ paɡɡa'mit naŋ 'makina,ɡanito aŋ paɡɡamit ŋ makina
ʔi'to ʔaŋ 'ʔawit ko,ʔito aŋ awit ko
mataŋ'kad si'a 'peɾo 'laloŋ 'mas mataŋ'kad ʔaŋ kapa'tid ni'aŋ la'laki,mataŋkad sijaˌ peɾo laloŋ mas mataŋkad aŋ kapatid nijaŋ lalaki
ban'saʔ ʔaŋ ni'ue,bansa aŋ niue
ʔi'sa sa 'ʔatin ʔaŋ 'dapat ɡaɡa'waʔ ni'to,ʔisa sa atin aŋ dapat ɡaɡawa nito
dal'hin mo ʔaŋ ma'ŋa ba'ɡahe sa ʔita'ʔas,dalhin mo aŋ mɡa baɡahe sa itaas
naɡkama'liʔ 'koŋ dina'la ʔaŋ 'pajoŋ ni'a,naɡkamali koŋ dinala aŋ pajoŋ nija
sinusu'bukan ni'laŋ ˌkonta'kin si'a,sinusubukan nilaŋ kontakin sija
nata'takot ʔa'koŋ ʔuma'lis,natatakot akoŋ umalis
hu'aɡ 'muna mawa'laʔ naŋ paɡ'ʔasa,huwaɡ muna mawala ŋ paɡ-asa
'dapat tuma'wid 'tajo naŋ 'ʔiloɡ ʔa'no 'kaja ʔaŋ ma'ŋa ka'bajo,"""dapat tumawid tajo naŋ iloɡ"" ""ano kaja aŋ mɡa kabajo?"""
pakiɾam'dam koj ʔini'wasan ni'a ʔaŋ ma'ŋa pinakamahala'ɡaŋ pɾo'blema,pakiɾamdam ko'j iniwasan nija aŋ mɡa pinakamahalaɡaŋ pɾoblema
na'kita mo ba ʔa'noŋ ɡina'waʔ ni'la sa 'pabo,nakita mo ba anoŋ ɡinawa nila sa pabo?
tulu'ŋan mo si'a,tuluŋan mo sija
pa'sok,pasok
ʔaŋ kani'laŋ ma'ŋa ʔu'ɡaliʔ 'ʔaj tala'ɡaŋ nakakata'wa,ʔaŋ kanilaŋ mɡa uɡali aj talaɡaŋ nakakatawa!
ʔa'noŋ nakaɡi'siŋ sa ʔi'o,ʔanoŋ nakaɡisiŋ sa ijo?
hin'diʔ ko ʔi'an maɡa'ɡawaʔ 'habaŋ ɡani'to ʔaŋ kala'ɡajan ŋa'jon,hindi ko ijan maɡaɡawa habaŋ ɡanito aŋ kalaɡajan ŋajon
ta'han na,tahan na
ʔi'laŋ 'susiʔ ta'noŋ ni 'pepeɾbeɾɡ,"""ilaŋ susi?"" tanoŋ ni peppeɾbeɾɡ"
ɡus'to mo ni'toŋ 'kulaj,ɡusto mo nitoŋ kulaj?
pa'ʔano,paano?
'sino ʔaŋ hina'hanap ni'o,sino aŋ hinahanap nijo?
ikinub'li ni'a ʔaŋ ka'njaŋ 'paŋit na muk'haʔ,ʔikinubli nija aŋ kaɲaŋ paŋit na mukha
ɡus'toŋ maɡbio'lin si 'ajnstajn,ɡustoŋ maɡbijolin si einstein
sa ti'ŋin ko ʔaj maj tinata'ɡoʔ si'a sa 'ʔakin,sa tiŋin ko aj maj tinataɡo sija sa akin
diʔ ka pa naɡdisi'ʃon,di ka pa naɡdisiʃon?
hin'diʔ ʔa'ko ma'damot,hindi ako madamot
palabi'ɾoʔ tala'ɡa si'a,palabiɾo talaɡa sija
'sino ʔaŋ 'taʔoŋ ʔi'to,sino aŋ taoŋ ito?
ɡus'to 'koŋ pumun'ta ɾo'ʔon,ɡusto koŋ pumunta ɾoon
hali'kan mo si tom,halikan mo si tom
puma'pasok sa ˌpaʔaɾa'lan si hi'ɾomi naŋ 'limaŋ 'ʔaɾaw sa ʔi'saŋ bu'an,pumapasok sa paaɾalan si hiɾomi ŋ limaŋ aɾaw sa isaŋ buwan
mala'ki ʔaŋ pa'ʔa naŋ 'ʔaso mo,malaki aŋ paa ŋ aso mo
nanini'wala ʔa'ko na ʔino'sente si'a,naniniwala ako na inosente sija
naɡdedekoɾas'jon si ma'ɾia naŋ kan'jaŋ 'pasoʔ,naɡdedekoɾaʃon si maɾia ŋ kaɲaŋ paso
ʔaŋ kaba'taʔan 'ʔaj ʔaŋ paɡ'ʔasa naŋ kiˌnabu'kasan,ʔaŋ kabataan aj aŋ paɡ-asa ŋ kinabukasan
maʔa'ʔaɾiʔ mo 'baŋ ʔila'ɡaj ʔaŋ ma'ŋa ba'ɡahe sa 'kot͡ʃe,maaaɾi mo baŋ ilaɡaj aŋ mɡa baɡahe sa kotse?
ʔa'lin 'dito ʔaŋ sa'jo,ʔalin dito aŋ sajo?
tumi'tiɾa ʔaŋ ˌmanunu'lat sa 'kahoj na ka'bina,tumitiɾa aŋ manunulat sa kahoj na kabina
diʔ si'la pumalak'pak 'paɾa sa 'ʔatin,di sila pumalakpak paɾa sa atin
ʔipa'kita mo sa 'ʔakin,ʔipakita mo sa akin
'ʔakin ʔaŋ ma'ŋa lib'ɾoŋ ʔi'to ʔaŋ ma'ŋa ʔi'on na'man ʔaj sa kani'a,ʔakin aŋ mɡa libɾoŋ ito; aŋ mɡa ijon naman aj sa kanija
ɡus'to ni'aŋ tu'miɾa sa i'baŋ daʔiɡ'diɡ,ɡusto nijaŋ tumiɾa sa ibaŋ daiɡdiɡ
ʔaŋ kaʔala'man naŋ 'wikaʔ ʔaj ʔi'saŋ 'baɡaj ʔaŋ paɡtu'tuɾo ni'to ʔaj ʔi'ba pa,ʔaŋ kaalaman ŋ wika aj isaŋ baɡaj; aŋ paɡtutuɾo nito aj iba pa
'mas ma'hal ni 'dʒak si 'ben kaj'sa ka'njaŋ sa'ɾili,mas mahal ni d͡ʒakk si ben kajsa kaɲaŋ saɾili
mahuhu'li ka sa ʔesku'ela,mahuhuli ka sa eskuwela
ʔipaɡbibi'li mo ba sa 'ʔakin ʔaŋ 'ʔawto mo,ʔipaɡbibili mo ba sa akin aŋ awto mo?
tapu'sin 'natin ʔaŋ la'ɾoʔ,tapusin natin aŋ laɾo
maɡsimu'laʔ 'dito,maɡsimula dito
'bahaj ko ʔi'to,bahaj ko ito
mabi'lis na tumiti'bok ʔaŋ 'ʔakiŋ 'pusoʔ,mabilis na tumitibok aŋ akiŋ puso
bumi'li si 'tom naŋ da'lawaŋ 'kopja naŋ lib'ɾo,bumili si tom ŋ dalawaŋ kopja ŋ libɾo
nawa'laʔ na ʔaŋ 'makina naŋ 'ʔoɾas,nawala na aŋ makina ŋ oɾas!
bu'moto na,bumoto na!
si'noŋ de'monjo ka ba,sinoŋ demoɲo ka ba?
sinam'paj ko ʔaŋ ˌla'bahin,sinampaj ko aŋ labahin
'sabi naŋ pu'lis sa kani'la pi'ɡil,"sabi ŋ pulis sa kanilaˌ ""piɡil"""
salu'hin mo si'a,saluhin mo sija
pumaɾi'ni ka sa ʔi'lalim naŋ 'pajoŋ ko 'ʔo mababa'saʔ ka,pumaɾini ka sa ilalim ŋ pajoŋ koˌ o mababasa ka
ka'pe pa paki'ʔusap,kape paˌ pakiusap
sa'baj ta'joʔ ʔuʔu'iʔ,sabaj tajo uuwi!
pinakamaɡan'daŋ 'ʔaɾaw ʔi'to naŋ 'buhaj ko,pinakamaɡandaŋ aɾaw ito ŋ buhaj ko
'meɾon ka'miŋ 'pusaʔ ʔat 'ʔaso,meɾon kamiŋ pusa at aso
diʔ ko pa na'basa ʔaŋ la'hat naŋ ʔak'lat,di ko pa nabasa aŋ lahat ŋ aklat
pu'noʔ ʔaŋ 'bote na naŋ 'tubiɡ,puno aŋ bote na ŋ tubiɡ
'paɾa sa 'ʔakin ʔimpo'sibleŋ saɡu'tin ʔaŋ ta'noŋ ʔi'to,paɾa sa akinˌ imposibleŋ saɡutin aŋ tanoŋ ito
ʔa'lam 'koŋ mata'lino ka,ʔalam koŋ matalino ka
na'ʔiwan mo ʔaŋ ʔaj'di mo sa 'bahaj ka'jaʔ hin'diʔ ka makakapa'sok,naiwan mo aŋ id mo sa bahajˌ kaja hindi ka makakapasok
hin'diʔ ka'mi naɡkaˌkama'liʔ,hindi kami naɡkakamali
tinataŋ'kilik naŋ ma'ŋa ti'nedjeɾ ʔaŋ ka'njaŋ ma'ŋa ʔak'lat,tinataŋkilik ŋ mɡa tinedjeɾ aŋ kaɲaŋ mɡa aklat
ʔa'no ʔaŋ su'ʔot mo,ʔano aŋ suot mo?
ma'ʔaɡa pa,maaɡa pa
'ɡusto naŋ ma'ŋa 'bataŋ makaɾi'niɡ naŋ ʔi'saŋ naˌkaka'takot na 'kwento,ɡusto ŋ mɡa bataŋ makaɾiniɡ ŋ isaŋ nakakatakot na kwento
ʔi'to ʔaŋ 'nanaj ko,ʔito aŋ nanaj ko
ʔuma'lis si'la 'paɾa maɡ'piknik,ʔumalis sila paɾa maɡpiknik
si'a ʔaj ʔina'ɾesto ni'la,sija aj inaɾesto nila
hin'diʔ ko kinaʔi'laŋaŋ maɡdi'liɡ naŋ ma'ŋa bulak'lak kata'tapos ko 'lamaŋ ʔaj biɡ'laŋ ʔumu'lan,hindi ko kinailaŋaŋ maɡdiliɡ ŋ mɡa bulaklak katatapos ko lamaŋ aj biɡlaŋ umulan
na'talo ʔa'ko,natalo ako
ʔi'to ʔaŋ taˌlasali'taʔan ko,ʔito aŋ talasalitaan ko
tumi'ɾa si'aŋ maɡʔi'sa sa 'ɡubat,tumiɾa sijaŋ maɡ-isa sa ɡubat
nakata'naw si'a sa la'bas naŋ bin'tanaʔ,nakatanaw sija sa labas ŋ bintana
ku'malat na sa bu'ʔoŋ 'baɾjo ʔaŋ 't͡ʃismis,kumalat na sa buoŋ baɾɾio aŋ tsismis
