target,predicted
hin'diʔ masa'ja 'nuŋ liŋ'ɡo,hin'diʔ masa'ja nuŋ liŋ'ɡo
ʔina'lis ni'a ʔaŋ ma'ŋa piŋ'ɡan sa 'mesa paɡka'tapos naŋ ha'punan,ʔina'lis ni'a ʔaŋ ma'ŋa piŋ'ɡan sa 'mesa paɡka'tapos naŋ ha'punan
ʔa'noŋ 'ʔiŋaj ʔi'on,ʔa'noŋ 'ʔiŋaj ʔi'on
pina'ŋakoʔ 'koŋ hin'diʔ ʔa'ko maɡsa'sabi sa kan'ja,pina'ŋakoʔ 'koŋ hin'diʔ ʔa'ko maɡsa'sabi sa kan'ja
napa'kahabaʔ na'man naŋ panta'loŋ ʔi'an 'halos ʔa'bot sa'hiɡ,napaka'habaʔ na'man naŋ panta'loŋ ʔi'an 'halos ʔa'bot sa'hiɡ
ipadada'la naŋ ko'ɾeo ʔaŋ 'sulat 'bukas,ʔipadada'la naŋ ko'ɾeo ʔaŋ 'sulat 'bukas
nada'paʔ si'a sa sa'hiɡ,nada'paʔ si'a sa sa'hiɡ
sa 'bukid no'ʔon naɡʔa'laɡaʔ ʔaŋ la'hat naŋ ma'nok ʔat ko'neho,sa 'bukid no'ʔon naɡʔa'laɡaʔ ʔaŋ la'hat naŋ ma'nok ʔat ko'neho
'bataʔ ka pa,'bataʔ ka pa
susu'bukan 'koŋ hu'aɡ 'kaŋ ʔaba'lahin 'habaŋ naɡʔa'ʔaɾal ka,susu'bukan 'koŋ hu'aɡ 'kaŋ ʔaba'lahin 'habaŋ naɡʔa'ʔaɾal ka
ʔo'ke 'laŋ ba sa'joŋ tulu'ŋan ʔa'ko sa tɾa'bahoŋ ʔi'on,ʔo'ke 'laŋ ba sa'joŋ tu'luŋan ʔa'ko sa tɾa'bahoŋ ʔi'on
kaʔi'laŋan 'koŋ ʔumu'iʔ naŋ ma'ʔaɡa naŋ kaʔun'tiʔ ŋa'jon,kaʔi'laŋan 'koŋ ʔumu'iʔ naŋ ma'ʔaɡa naŋ kaʔun'tiʔ ŋa'jon
paɡ'ka pinaɡʔuʔu'sapan ni'a ʔaŋ 'hobi ni'a pa'laɡiʔ si'aŋ 'paɾaŋ seɾ'joso,paɡ'ka pinaɡʔuʔu'sapan ni'a ʔaŋ 'hobi ni'a pa'laɡiʔ si'aŋ 'paɾaŋ seɾ'joso
hin'diʔ 'kajaŋ bumi'li naŋ 'baɡoŋ bisik'leta ni 'dʒak,hin'diʔ 'kajaŋ bumi'li naŋ 'baɡoŋ bisik'leta ni 'd͡ʒak
na'baɡo ʔaŋ 'buhaj ko mu'la naŋ naki'lala ko si'a,na'baɡo ʔaŋ 'buhaj ko mu'laʔ naŋ naki'lala ko si'a
naɡtatɾa'baho si'a sa ɡa'bi,naɡtatɾa'baho si'a sa ɡa'bi
hu'aɡ 'kaŋ maɡla'kad naŋ sa'ɾili paɡ'ka madi'lim na,hu'aɡ 'kaŋ maɡla'kad naŋ sa'ɾili paɡ'ka madi'lim na
ʔi'to ʔaj hin'diʔ paŋu'ŋusap,ʔi'to ʔaj hin'diʔ paŋu'ŋusap
ɡus'to ni'laŋ paɡʔu'sapan ʔaŋ ma'ŋa 'baɡaj tuŋ'kol sa ɾelihi'on,ɡus'to ni'laŋ paɡʔu'sapan ʔaŋ ma'ŋa 'baɡaj tuŋ'kol sa ɾelihi'on
'bakit ka'jaʔ ni'a ɡina'waʔ ʔi'on,'bakit ka'jaʔ ni'a ɡina'waʔ ʔi'on
hu'aɡ moŋ ɡala'win ʔaŋ ku't͡ʃaɾa ʔat ʔaŋ 'basoŋ ʔi'an,hu'aɡ 'moŋ ɡala'win ʔaŋ ku't͡ʃaɾa ʔat ʔaŋ 'basoŋ ʔi'an
ʔi'to ʔaj 'ʔakiŋ kom'pjuteɾ,ʔi'to ʔaj 'ʔakiŋ kom'pjuteɾ
ba'kaʔ 'nasa ku'sina si 'tom 'peɾo 'ʔewan ko,ba'kaʔ 'nasa ku'sina si 'tom 'peɾo 'ʔewan ko
ba'kaʔ luma'bas ʔa'ko kuŋ tu'mila na ʔaŋ ʔu'lan,ba'kaʔ luma'bas ʔa'ko kuŋ tu'mila na ʔaŋ ʔu'lan
nakakapaɡ'basa ʔa'ko naŋ ʔiŋ'ɡles,nakakapaɡ'basa ʔa'ko naŋ ʔiŋ'ɡles
'halos siɾa'ʔin naŋ ʔes'kandalo ʔaŋ ka'njaŋ ka'ɾeɾa,'halos siɾa'ʔin naŋ ʔes'kandalo ʔaŋ kan'jaŋ ka'ɾeɾa
makatoto'hanan ʔi'on,makatoto'hanan ʔi'on
maj ta'noŋ ʔa'ko 'paɾa sa ʔi'o,maj ta'noŋ ʔa'ko 'paɾa sa ʔi'o
tatawa'ɡin ko si'a,tata'waɡin ko si'a
kamus'ta ʔaŋ bakas'jon mo,kamus'ta ʔaŋ bakas'jon mo
papata'jin ʔa'ko naŋ ma'ŋa ma'ɡulaŋ ko,papata'jin ʔa'ko naŋ ma'ŋa ma'ɡulaŋ ko
naɡkaka'pe ʔa'ko,naɡkaka'pe ʔa'ko
'nasa sine'han ʔa'ko,na'saʔ sine'han ʔa'ko
suk'liʔ mo,suk'liʔ mo
hin'diʔ mas'jadoŋ naɡʔa'ʔaɾal si 'monika,hin'diʔ mas'jadoŋ naɡʔa'ʔaɾal si 'monika
ɡa'lit si'a sa 'ʔakin,ɡa'lit si'a sa 'ʔakin
wa'laŋ pumun'ta,wa'laŋ pumun'ta
ʔaŋ 'laŋit ʔaj pu'noʔ naŋ maʔiʔi'tim na 'ʔulap,ʔaŋ 'laŋit ʔaj pu'noʔ naŋ maʔiʔi'tim na 'ʔulap
pumupun'ta si'a sa 'londɾes 'kada bu'an,pumupun'ta si'a sa 'londɾes 'kada bu'an
'dapat ko 'baŋ ʔuli'tin,'dapat ko 'baŋ ʔuli'tin
naɡ'ʔaɾal si'a naŋ ma'buti 'paɾa ma'ɡiŋ dalub'ʔaɡham,naɡ'ʔaɾal si'a naŋ ma'buti 'paɾa ma'ɡiŋ dalubʔaɡ'ham
kaʔi'laŋan 'natiŋ ta'waɡan ʔaŋ pu'lisja,kaʔi'laŋan 'natiŋ tawa'ɡan ʔaŋ pulis'ja
ʔa'noŋ ɡinaɡa'waʔ mo sa ma'ŋa 'libɾeŋ 'ʔoɾas mo,ʔa'noŋ ɡinaɡa'waʔ mo sa ma'ŋa 'libɾeŋ 'ʔoɾas mo
bu'laɡ ʔaŋ kan'jaŋ ʔi'saŋ ma'ta,bu'laɡ ʔaŋ kan'jaŋ ʔi'saŋ ma'ta
si'nabi ni'a sa ʔa'min na naɾa'nasan ni'a ʔaŋ ma'ɾamiŋ kahi'ɾapan,si'nabi ni'a sa 'ʔamin na naɾana'san ni'a ʔaŋ ma'ɾamiŋ kahi'ɾapan
sa'ʔan mo si'la pinaɡbanta'ʔan,sa'ʔan mo si'la pinaɡban'taʔan
pa'taj,pa'taj
kuŋ ma'siɾaʔ 'man ʔaŋ 'woɾdpɾo'sesoɾ papali'tan 'namin ʔi'to naŋ wa'laŋ 'bajad,kuŋ ma'siɾaʔ 'man ʔaŋ woɾdpɾo'sesoɾ papa'litan 'namin ʔi'to naŋ wa'laŋ 'bajad
naɡ'taksi ʔa'ko 'kasi ʔumuʔu'lan,naɡ'taksi ʔa'ko 'kasi ʔumuʔu'lan
muk'haŋ ʔinteɾe'sado tala'ɡa si 'tom kaj 'meɾi,muk'haŋ ʔinteɾe'sado tala'ɡa si 'tom kaj 'meɾi
hu'aɡ na hu'aɡ ka'joŋ maɡla'ɾoʔ sa da'ʔan,hu'aɡ na hu'aɡ ka'joŋ maɡla'ɾoʔ sa da'ʔan
ʔaŋ 'baɡaj na 'ʔajaw ko sa kan'ja ʔaj ʔaŋ paɡjaja'baŋ ni'a na majɾo'ʔon si'aŋ maɡan'daŋ 'ɡɾado 'kahit na hin'diʔ 'sja naɡʔa'ʔaɾal,ʔaŋ 'baɡaj na 'ʔajaw ko sa kan'ja ʔaj ʔaŋ ja'baŋ ni'a na majɾo'ʔon si'a maɡan'daŋ 'ɡɾado 'kahit na hin'diʔ 'sja naɡa'ʔaɾal
'paɾaŋ hin'diʔ ʔinteɾe'sado si 'tom,'paɾaŋ hin'diʔ ʔinteɾe'sado si 'tom
ʔaŋ ʔak'lat na ʔi'to ʔaj tuŋ'kol sa ʔi'saŋ 'haɾiʔ na nawa'lan naŋ ko'ɾona,ʔaŋ ʔak'lat na ʔi'to ʔaj tuŋ'kol sa ʔi'saŋ 'haɾiʔ na nawa'lan naŋ ko'ɾona
'mas ɡus'to ko ʔaŋ taɡla'miɡ kaj'sa sa taɡ'ʔinit,'mas ɡus'to ko ʔaŋ taɡla'miɡ kaj'sa sa taɡ'ʔinit
hin'diʔ ʔa'lam ni 'tom kuŋ nasa'ʔan ʔi'on,hin'diʔ ʔa'lam ni 'tom kuŋ nasa'ʔan ʔi'on
'nasa 'bahaj si 'tom,na'saʔ 'bahaj si 'tom
biniɡ'jan ni'a si'a naŋ maʔiʔi'nom,biniɡ'jan ni'a si'a naŋ maʔiʔi'nom
naɡsu'suʃi si'na 'taɾo ʔat ha'nako,naɡsu'suʃi si'na 'taɾo ʔat ha'nako
bumi'li ʔa'ko 'ɾito naŋ ʔak'lat ka'hapon,bumi'li ʔa'ko 'ɾito naŋ ʔak'lat ka'hapon
pumun'ta si'a sa 'paɾis 'paɾa maɡ'ʔaɾal naŋ 'siniŋ,pumun'ta si'a sa 'paɾis 'paɾa maɡ'ʔaɾal naŋ 'siniŋ
maɡan'da ba ʔaŋ pana'hon,maɡan'da ba ʔaŋ pana'hon
bu'kas ba sa la'hat ʔaŋ ɡu'saliŋ ʔi'to,'bukas ba sa la'hat ʔaŋ ɡu'saliŋ ʔi'to
mala'ki ka na,mala'ki ka na
ki'naʔin si 'tom naŋ ʔi'saŋ bu'aja,ki'naʔin si 'tom naŋ ʔi'saŋ bu'aja
ʔini'ʔisip naŋ ma'ŋa maja'jabaŋ na 'taʔo na 'mas mata'ʔas si'la sa ʔi'ba,ʔini'ʔisip naŋ ma'ŋa maja'jabaŋ na 'taʔo na 'mas mata'ʔas si'la sa ʔi'ba
ʔini'ʔihaw ʔaŋ kaɾ'ne,ʔini'ʔihaw ʔaŋ kaɾ'ne
ʔi'kuha mo ka'jaʔ ʔa'ko naŋ ʔi'sa 'paŋ seɾ'besa,ʔi'kuhaʔ mo ka'jaʔ ʔa'ko naŋ ʔi'sa 'paŋ seɾ'besa
'bakit ba na pa'laɡiŋ hu'li ka,'bakit ba na pa'laɡiŋ hu'li ka
ˌkakaʔi'ba ʔaŋ 'kilos mo,ˌkakaʔi'ba ʔaŋ 'kilos mo
ba'kaʔ 'dapat maɡhin'taj ka,ba'kaʔ 'dapat maɡhin'taj ka
pinintu'ɾahaŋ pu'tiʔ 'paɾaŋ 'mas mala'ki i'toŋ 'bahaj,pinintuɾa'haŋ pu'tiʔ 'paɾaŋ 'mas mala'ki i'toŋ 'bahaj
hu'aɡ moŋ kali'mutan kuŋ 'sino ka,hu'aɡ moŋ kali'mutan kuŋ 'sino ka
'kita sa muk'haʔ ni'a na naʔi'nis si'a,ki'ta sa muk'haʔ ni'a na naʔi'nis si'a
hin'diʔ ki'ta iniimbi'tahan,hin'diʔ ki'ta ʔiniʔimbita'han
ʔaŋ ba'litaʔ ko naɡkasa'kit ka 'ɾaw,ʔaŋ ba'litaʔ ko naɡkasa'kit ka 'ɾaw
nanono'ʔod naŋ ba'litaʔ si tom,nanono'ʔod naŋ ba'litaʔ si 'tom
ʔi'on ʔaj kaɾa'niwan naŋ ɡina'ɡawaʔ hin'diʔ ʔi'on 'tulad naŋ paɡɡu'pit naŋ ma'ŋa du'luhan,ʔi'on ʔaj kaɾa'niwan naŋ ɡinaɡa'waʔ hin'diʔ ʔi'on 'tulad naŋ paɡɡu'pit naŋ ma'ŋa du'lohan
hin'diʔ 'ɾin na'man ʔa'ko ʔinteɾe'sado ɡa'win ʔaŋ ma'ŋa 'baɡaj na ɡan'jan,hin'diʔ 'ɾin na'man ʔa'ko ʔinteɾe'sado ɡa'win ʔaŋ ma'ŋa 'baɡaj na ɡan'jan
tu'mawaɡ si 'tom,tu'mawaɡ si 'tom
'ɡusto mo ba na ta'tawaɡ ʔa'ko naŋ pu'lis,'ɡusto mo ba na ta'tawaɡ ʔa'ko naŋ pu'lis
kumin'dat ba sa 'yo si 'tom,kumin'dat ba sa 'jo si 'tom
ʔi'sa si'aŋ ma'husaj na po'litiko ʔat ma'husaj na ʔestud'jante,ʔi'sa si'aŋ ma'husaj na po'litiko ʔat ma'husaj na ʔestud'jante
mala'kas si'aŋ maɡsali'taʔ,mala'kas si'aŋ maɡsali'taʔ
dina'la ni'a ʔaŋ ka'njaŋ ʔak'lat,dina'la ni'a ʔaŋ kan'jaŋ ʔak'lat
biɡ'laŋ ʔuma'lis si 'tom,biɡ'laŋ ʔuma'lis si 'tom
ki'ta 'koŋ maj bulak'lak sa ʔi'babaw naŋ pu'pitɾe,ki'ta 'koŋ maj bulak'lak sa ʔi'babaw naŋ pu'pitɾe
hu'aɡ ka mas'jadoŋ luma'joʔ,hu'aɡ ka mas'jadoŋ luma'joʔ
binu'bulaj na punda'doɾ naŋ mo'deɾnoŋ ʔastɾono'mia si niko'laus kopeɾ'nikus,binu'bulaj na punda'doɾ naŋ mo'deɾnoŋ ʔastɾono'mia si niko'laus ko'peɾnikus
wa'laŋ ta'talo sa 'lasa naŋ 'baɡoŋɡa'waŋ ti'napaj,wa'laŋ ta'talo sa 'lasa naŋ 'baɡoŋɡa'waŋ ti'napaj
pɾope'soɾ ko si'a,pɾope'soɾ ko si'a
'meɾon ʔa'koŋ dala'waŋ 'pusaʔ,'meɾon ʔa'koŋ dala'waŋ 'pusaʔ
ʔa'kalaʔ 'namin kumakan'ta ka,ʔa'kalaʔ 'namin kumakan'ta ka
ɡaɡa'win ko ʔi'an sa kondis'jon na tutu'luŋan mo ʔa'ko,ɡaɡa'win ko ʔi'an sa kondis'jon na tutu'luŋan mo ʔa'ko
diʔ kuŋ ʔa'no ʔaŋ bina'basa mo kun'diʔ kuŋ pa'ʔano mo bina'basa ʔaŋ kahulu'ɡan,diʔ kuŋ ʔa'no ʔaŋ bina'basa mo kun'diʔ kuŋ pa'ʔano mo bina'basa ʔaŋ kahulu'ɡan
maɡpa'kitaʔ ka sa 'ʔakin,maɡpaki'ta ka sa 'ʔakin
sa'sama ka ba sa 'ʔakin sa tin'dahan,sa'sama ka ba sa 'ʔakin sa tin'dahan
hin'diʔ si'a naɡpaliɡujli'ɡoj,hin'diʔ si'a naɡpaliɡujli'ɡoj
sa 'ʔatin 'lamaŋ dala'wa na'huloɡ ba ʔaŋ lo'ʔob mo 'paɾa sa 'ʔakiŋ kapa'tid na ba'baʔe,sa 'ʔatin la'maŋ dala'wa na'huloɡ ba ʔaŋ lo'ʔob mo 'paɾa sa 'ʔakiŋ kapa'tid na ba'baʔe
sa ti'ŋin ko o'ke 'laŋ,sa ti'ŋin ko ʔo'ke 'laŋ
ʔa'lam mo ba na 'mas mala'kas ka sa ʔa'kalaʔ mo,ʔa'lam mo ba na 'mas mala'kas ka sa ʔa'kalaʔ mo
hin'diʔ ko ˌsasaɡu'tin ʔaŋ ɡan'jan kata'ŋaŋ ta'noŋ,hin'diʔ ko ˌsasaɡu'tin ʔaŋ ɡan'jan kata'ŋaŋ ta'noŋ
ɡa'ʔano ʔi'on ka'lawak,ɡa'ʔano ʔi'on ka'lawak
naɡit'la si'a naŋ naɾi'niɡ ni'a ʔaŋ ba'litaʔ,naɡit'la si'a naŋ naɾi'niɡ ni'a ʔaŋ ba'litaʔ
pina'taj ʔaŋ 'tubiɡ,pina'taj ʔaŋ 'tubiɡ
kuŋ ʔa'koj ʔi'saŋ 'ʔibon ˌlili'pad ʔa'ko pa'tuŋo sa 'jo,kuŋ ʔa'koj ʔi'saŋ 'ʔibon ˌlili'pad ʔa'ko pa'tuŋo sa 'jo
han'daʔ na si'aŋ haɾa'pin ʔaŋ kapa'laɾan ni'a,han'daʔ na si'aŋ haɾa'pin ʔaŋ kapa'laɾan ni'a
ʔipinaki'lala ni'a ʔa'ko sa kan'ja sa 'paɾti,ʔipinaki'lala ni'a ʔa'ko sa kan'ja sa 'paɾti
maɡa'liŋ ŋa'jon ʔat ni mas'jadoŋ mabi'ɡat ni mas'jadoŋ maɡa'ʔan,maɡa'liŋ ŋa'jon ʔat ni mas'jadoŋ mabi'ɡat ni mas'jadoŋ maɡa'ʔan
mataŋ'kad si 'meɾi,mataŋ'kad si 'meɾi
ʔumuʔu'lan 'dito,ʔumuʔu'lan 'dito
si'a ʔaj naɡmumu'ɾa sa 'bidjo,si'a ʔaj naɡmu'muɾaʔ sa 'bidjo
hin'diʔ ko ʔa'lam kuŋ maɡ'kano 'to,hin'diʔ ko ʔa'lam kuŋ maɡ'kano 'to
naɡ'lalakad ba si 'tom papun'taŋ ʔeskuˌela'han,naɡ'lalakad ba si 'tom papun'taŋ ʔeskuˌela'han
ɡa'waʔ sa 'kahoj ʔaŋ pu'pitɾe,ɡa'waʔ sa 'kahoj ʔaŋ pu'pitɾe
ʔaŋ ba'ŋo naŋ bif'stek na ʔi'to,ʔaŋ ba'ŋoʔ naŋ 'bifstek na ʔi'to
ɡina'waʔ moŋ ʔi'saŋ ha'ŋal ʔaŋ ʔi'joŋ sa'ɾili,ɡina'waʔ 'moŋ ʔi'saŋ ha'ŋal ʔaŋ ʔi'joŋ sa'ɾili
ʔaŋ ʔaɾ'tikulo tuŋ'kol sa bu'dismoj binu'haj ʔaŋ 'hiliɡ ko sa ma'ŋa ɾelihi'oŋ sila'ŋanin,ʔaŋ ʔaɾ'tikulo tuŋ'kol sa bu'dismoj bi'nuhaj ʔaŋ hi'liɡ ko sa ma'ŋa ɾelihi'oŋ sila'ŋanin
ʔa'lam 'koŋ ɡa'lit ka sa 'ʔakin,ʔa'lam 'koŋ ɡa'lit ka sa 'ʔakin
ʔi'saŋ da'ʔaŋ 'metɾoŋ kataʔa'san ʔaŋ ɡu'saliʔ,ʔi'saŋ da'ʔaŋ 'metɾoŋ kata'ʔasan ʔaŋ ɡu'saliʔ
ɡus'to 'koŋ maɡtɾa'baho sa kapetiɾ'ja,'ɡusto 'koŋ maɡtɾa'baho sa kape'tiɾja
ʔi'laŋ 'taʔo ʔaŋ 'nasa 'ɡɾupo mo,ʔi'laŋ 'taʔo ʔaŋ 'nasa 'ɡɾupo mo
pu'ede moŋ 'kunin ʔaŋ lib'ɾo kuŋ maba'basa mo,pu'ede 'moŋ 'kunin ʔaŋ lib'ɾo kuŋ maba'basa mo
ʔumi'nom ʔat ku'maʔin,ʔumi'nom ʔat ku'maʔin
ɡani'to ʔaŋ paɡɡa'mit naŋ 'makina,ɡani'to ʔaŋ paɡɡa'mit naŋ 'makina
ʔi'to ʔaŋ 'ʔawit ko,ʔi'to ʔaŋ 'ʔawit ko
mataŋ'kad si'a 'peɾo 'laloŋ 'mas mataŋ'kad ʔaŋ kapa'tid ni'aŋ la'laki,mataŋ'kad si'a 'peɾo 'laloŋ 'mas mataŋ'kad ʔaŋ kapa'tid ni'aŋ la'laki
ban'saʔ ʔaŋ ni'ue,ban'saʔ ʔaŋ ni'we
ʔi'sa sa 'ʔatin ʔaŋ 'dapat ɡaɡa'waʔ ni'to,ʔi'sa sa 'ʔatin ʔaŋ 'dapat ɡaɡa'waʔ ni'to
dal'hin mo ʔaŋ ma'ŋa ba'ɡahe sa ʔita'ʔas,dal'hin mo ʔaŋ ma'ŋa ba'ɡahe sa ʔita'ʔas
naɡkama'liʔ 'koŋ dina'la ʔaŋ 'pajoŋ ni'a,naɡkama'liʔ 'koŋ dina'la ʔaŋ 'pajoŋ ni'a
sinusu'bukan ni'laŋ ˌkonta'kin si'a,sinusu'bukan ni'laŋ konta'kin si'a
nata'takot ʔa'koŋ ʔuma'lis,nata'takot ʔa'koŋ ʔuma'lis
hu'aɡ 'muna mawa'laʔ naŋ paɡ'ʔasa,hu'aɡ 'muna mawa'laʔ naŋ paɡ'ʔasa
'dapat tuma'wid 'tajo naŋ 'ʔiloɡ ʔa'no 'kaja ʔaŋ ma'ŋa ka'bajo,'dapat tuma'wid 'tajo naŋ 'ʔiloɡ ʔa'no ka'jaʔ ʔaŋ ma'ŋa ka'bajo
pakiɾam'dam koj ʔini'wasan ni'a ʔaŋ ma'ŋa pinakamahala'ɡaŋ pɾo'blema,pakiɾam'dam koj ʔini'wasan ni'a ʔaŋ ma'ŋa pinakamahala'ɡaŋ pɾo'blema
na'kita mo ba ʔa'noŋ ɡina'waʔ ni'la sa 'pabo,na'kita mo ba ʔa'noŋ ɡina'waʔ ni'la sa 'paboʔ
tulu'ŋan mo si'a,tu'luŋan mo si'a
pa'sok,pa'sok
ʔaŋ kani'laŋ ma'ŋa ʔu'ɡaliʔ 'ʔaj tala'ɡaŋ nakakata'wa,ʔaŋ kani'laŋ ma'ŋa ʔu'ɡaliʔ ʔaj tala'ɡaŋ nakakata'wa
ʔa'noŋ nakaɡi'siŋ sa ʔi'o,ʔa'noŋ nakaɡi'siŋ sa ʔi'o
hin'diʔ ko ʔi'an maɡa'ɡawaʔ 'habaŋ ɡani'to ʔaŋ kala'ɡajan ŋa'jon,hin'diʔ ko ʔi'an maɡaɡa'waʔ 'habaŋ ɡani'to ʔaŋ kala'ɡajan ŋa'jon
ta'han na,ta'han na
ʔi'laŋ 'susiʔ ta'noŋ ni 'pepeɾbeɾɡ,ʔi'laŋ 'susiʔ ta'noŋ ni 'pepeɾbeɾɡ
ɡus'to mo ni'toŋ 'kulaj,ɡus'to mo ni'toŋ 'kulaj
pa'ʔano,pa'ʔano
'sino ʔaŋ hina'hanap ni'o,'sino ʔaŋ hina'hanap ni'o
ikinub'li ni'a ʔaŋ ka'njaŋ 'paŋit na muk'haʔ,ʔikinub'li ni'a ʔaŋ kan'jaŋ 'paŋit na muk'haʔ
ɡus'toŋ maɡbio'lin si 'ajnstajn,ɡus'toŋ maɡbijo'lin si 'ajnstajn
sa ti'ŋin ko ʔaj maj tinata'ɡoʔ si'a sa 'ʔakin,sa ti'ŋin ko ʔaj maj tina'taɡoʔ si'a sa 'ʔakin
diʔ ka pa naɡdisi'ʃon,diʔ ka pa naɡdisis'jon
hin'diʔ ʔa'ko ma'damot,hin'diʔ ʔa'ko mada'mot
palabi'ɾoʔ tala'ɡa si'a,pala'biɾoʔ tala'ɡa si'a
'sino ʔaŋ 'taʔoŋ ʔi'to,'sino ʔaŋ 'taʔoŋ ʔi'to
ɡus'to 'koŋ pumun'ta ɾo'ʔon,ɡus'to 'koŋ pumun'ta ɾo'ʔon
hali'kan mo si tom,hali'kan mo si 'tom
puma'pasok sa ˌpaʔaɾa'lan si hi'ɾomi naŋ 'limaŋ 'ʔaɾaw sa ʔi'saŋ bu'an,puma'pasok sa ˌpaʔaɾa'lan si hi'ɾomi naŋ li'maŋ 'ʔaɾaw sa ʔi'saŋ bu'an
mala'ki ʔaŋ pa'ʔa naŋ 'ʔaso mo,mala'ki ʔaŋ pa'ʔa naŋ 'ʔaso mo
nanini'wala ʔa'ko na ʔino'sente si'a,nanini'wala ʔa'ko na ʔino'sente si'a
naɡdedekoɾas'jon si ma'ɾia naŋ kan'jaŋ 'pasoʔ,naɡdedekoɾas'jon si ma'ɾia naŋ kan'jaŋ 'pasoʔ
ʔaŋ kaba'taʔan 'ʔaj ʔaŋ paɡ'ʔasa naŋ kiˌnabu'kasan,ʔaŋ kaba'taʔan ʔaj ʔaŋ paɡ'ʔasa naŋ kiˌnabu'kasan
maʔa'ʔaɾiʔ mo 'baŋ ʔila'ɡaj ʔaŋ ma'ŋa ba'ɡahe sa 'kot͡ʃe,maʔa'ʔaɾiʔ mo 'baŋ ʔila'ɡaj ʔaŋ ma'ŋa ba'ɡahe sa 'kot͡ʃe
ʔa'lin 'dito ʔaŋ sa'jo,ʔa'lin 'dito ʔaŋ sa'jo
tumi'tiɾa ʔaŋ ˌmanunu'lat sa 'kahoj na ka'bina,tumiti'ɾa ʔaŋ ˌmanunu'lat sa 'kahoj na ka'binaʔ
diʔ si'la pumalak'pak 'paɾa sa 'ʔatin,diʔ si'la pumalak'pak 'paɾa sa 'ʔatin
ʔipa'kita mo sa 'ʔakin,ʔipa'kita mo sa 'ʔakin
'ʔakin ʔaŋ ma'ŋa lib'ɾoŋ ʔi'to ʔaŋ ma'ŋa ʔi'on na'man ʔaj sa kani'a,'ʔakin ʔaŋ ma'ŋa lib'ɾoŋ ʔi'to ʔaŋ ma'ŋa ʔi'on na'man ʔaj sa kani'a
ɡus'to ni'aŋ tu'miɾa sa i'baŋ daʔiɡ'diɡ,ɡus'to ni'aŋ tumi'ɾa sa ʔi'baŋ daʔiɡ'diɡ
